CUST_ID|NO_OF_CARDS_PURCHASES|NO_OF_CREDIT_CARDS_TRANSACTIONS|NO_OF_DEBIT_CARDS_TRANSACTIONS|NO_OF_TELLER_TRANSACTIONS|NO_OF_ATM_TRANSACTIONS|NO_OF_INTERNATIONAL_CARDS_TRANSACTIONS|NO_OF_INTERNATIONAL_ATM_TRANSACTIONS|NO_OF_E_TRANSACTIONS|VALUE_OF_CARDS_PURCHASES|VALUE_OF_CREDIT_CARDS_TRANSACTIONS|VALUE_OF_DEBIT_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_ATM_TRANSACTIONS
10||||5|0|0|0|0||||0.000000|0.000000
20|28|28|0|6|0|0|0|0|554.230000|554.230000|0.000000|0.000000|0.000000
30|95|95|0|0|0|11|0|0|4037.250000|4037.250000|0.000000|1187.840000|0.000000
40|112|0|112|1|0|0|0|0|5403.320000|0.000000|5403.320000|0.000000|0.000000
50||||1|0|0|0|0||||0.000000|0.000000
60|118|118|0|0|0|0|0|0|4743.590000|4743.590000|0.000000|0.000000|0.000000
70|3|3|0|42|0|0|0|0|369.500000|369.500000|0.000000|0.000000|0.000000
110|27|0|28|61|4|0|0|0|823.430000|0.000000|879.430000|0.000000|0.000000
156|1|0|1|18|19|0|0|0|56.700000|0.000000|56.700000|0.000000|0.000000
173|46|0|46|68|0|26|0|0|2361.510000|0.000000|2361.510000|1742.880000|0.000000
202|52|0|52|51|0|0|0|0|2415.060000|0.000000|2415.060000|0.000000|0.000000
342||||1|0|0|0|0||||0.000000|0.000000
618|48|49|0|83|24|5|0|0|1829.190000|1841.990000|0.000000|66.580000|0.000000
790|1|0|1|130|0|0|0|0|51.560000|0.000000|51.560000|0.000000|0.000000
967|53|0|57|62|66|0|0|0|2137.810000|0.000000|2237.810000|0.000000|0.000000
1092|21|0|21|37|0|18|0|0|3156.750000|0.000000|3156.750000|2724.600000|0.000000
1187|65|0|67|1|76|0|0|12|1937.680000|0.000000|2047.680000|0.000000|0.000000
1201|57|0|57|86|12|0|0|0|1756.570000|0.000000|1756.570000|0.000000|0.000000
1216|74|0|74|176|134|0|0|0|3193.800000|0.000000|3193.800000|0.000000|0.000000
1418||||123|0|0|0|0||||0.000000|0.000000
2286|5|5|0|5|0|1|0|0|497.790000|497.790000|0.000000|25.280000|0.000000
3563|90|90|0|53|0|4|0|0|2243.820000|2243.820000|0.000000|92.630000|0.000000
4413|34|0|35|62|2|0|0|0|1503.730000|0.000000|1513.230000|0.000000|0.000000
4959|||||||||||||
5327||||20|0|0|0|0||||0.000000|0.000000
6342|7|0|8|43|0|4|0|2|1388.840000|0.000000|1450.290000|582.770000|0.000000
7193||||21|0|0|0|1||||0.000000|0.000000
8280|12|0|12|21|0|0|0|0|281.790000|0.000000|281.790000|0.000000|0.000000
8764|8|0|8|10|2|0|0|50|163.790000|0.000000|163.790000|0.000000|0.000000
9578|7|0|7|7|0|0|0|0|120.860000|0.000000|120.860000|0.000000|0.000000
9946|34|0|34|35|62|0|0|0|1068.590000|0.000000|1068.590000|0.000000|0.000000
10150|2|0|2|210|0|0|0|0|49.600000|0.000000|49.600000|0.000000|0.000000
10292|67|0|67|152|93|0|0|0|6356.720000|0.000000|6356.720000|0.000000|0.000000
10549|12|0|12|18|4|0|0|0|205.400000|0.000000|205.400000|0.000000|0.000000
10756|59|0|59|69|34|5|0|0|1667.570000|0.000000|1667.570000|443.860000|0.000000
11042|84|0|84|62|129|0|0|0|6288.840000|0.000000|6288.840000|0.000000|0.000000
11201|||||||||||||
11370||||16|0|0|0|0||||0.000000|0.000000
11550||||17|2|0|0|0||||0.000000|0.000000
11742|24|0|24|1|9|0|0|0|1243.960000|0.000000|1243.960000|0.000000|0.000000
12032||||34|0|0|0|1||||0.000000|0.000000
12270||||18|0|0|0|0||||0.000000|0.000000
12508|||||||||||||
12673||||18|0|0|0|0||||0.000000|0.000000
12809|20|20|0|85|0|15|0|0|3424.380000|3424.380000|0.000000|2175.520000|0.000000
12989|||||||||||||
13048|5|0|5|3|0|0|0|0|134.510000|0.000000|134.510000|0.000000|0.000000
13240|12|0|12|8|0|0|0|0|545.540000|0.000000|545.540000|0.000000|0.000000
13577||||1|0|0|0|0||||0.000000|0.000000
13705|1|0|1|0|0|0|0|0|6.590000|0.000000|6.590000|0.000000|0.000000
13804|32|0|32|55|21|3|0|0|974.290000|0.000000|974.290000|135.130000|0.000000
14010||||134|0|0|0|0||||0.000000|0.000000
14329|1|0|1|47|0|2|0|0|944.530000|0.000000|944.530000|1199.030000|0.000000
14695|9|0|10|142|0|0|0|0|279.490000|0.000000|579.490000|0.000000|0.000000
15028||||53|0|0|0|0||||0.000000|0.000000
15493|7|0|11|44|2|9|2|0|506.580000|0.000000|891.950000|690.780000|201.170000
16009||||20|18|0|0|0||||0.000000|0.000000
16200||||5|0|0|0|0||||0.000000|0.000000
16364||||35|10|0|0|0||||0.000000|0.000000
16643||||2|1|0|0|0||||0.000000|0.000000
16864|57|0|57|40|8|0|0|5|6859.940000|0.000000|6859.940000|0.000000|0.000000
17129|4|0|4|0|4|0|0|0|97.680000|0.000000|97.680000|0.000000|0.000000
17451|16|0|16|36|20|0|0|71|584.120000|0.000000|584.120000|0.000000|0.000000
17602|62|0|62|207|0|2|0|16|1790.230000|0.000000|1790.230000|7.880000|0.000000
17873|119|119|0|12|0|0|0|0|3816.720000|3816.720000|0.000000|0.000000|0.000000
18068||||4|0|0|0|0||||0.000000|0.000000
18301|15|0|15|0|0|0|0|0|3234.170000|0.000000|3234.170000|0.000000|0.000000
18529|36|0|37|50|28|0|0|0|1740.340000|0.000000|1840.340000|0.000000|0.000000
18635|23|0|23|19|0|0|0|0|464.790000|0.000000|464.790000|0.000000|0.000000
18944||||15|15|0|0|0||||0.000000|0.000000
19050|7|0|7|2|0|7|0|0|699.750000|0.000000|699.750000|699.750000|0.000000
19244|5|0|5|10|0|0|0|8|69.700000|0.000000|69.700000|0.000000|0.000000
19441||||31|20|0|0|0||||0.000000|0.000000
19649|1|1|0|15|0|0|0|0|49.990000|49.990000|0.000000|0.000000|0.000000
19760||||0|7|0|0|0||||0.000000|0.000000
20012||||56|0|0|0|0||||0.000000|0.000000
20239|20|0|20|81|1|0|0|0|472.810000|0.000000|472.810000|0.000000|0.000000
20411|195|187|8|0|0|7|0|0|3198.370000|3080.750000|117.620000|102.080000|0.000000
20899|6|6|0|0|0|1|0|0|285.580000|285.580000|0.000000|41.060000|0.000000
21070|20|0|20|27|0|20|0|0|6055.410000|0.000000|6055.410000|6055.410000|0.000000
21279|25|25|0|0|32|0|0|0|804.980000|804.980000|0.000000|0.000000|0.000000
21465||||55|0|0|0|0||||0.000000|0.000000
21580|12|0|12|2|0|0|0|0|429.020000|0.000000|429.020000|0.000000|0.000000
21713|||||||||||||
21928|6|0|10|27|85|0|0|0|324.740000|0.000000|584.740000|0.000000|0.000000
22089|89|0|96|109|22|0|0|0|3332.980000|0.000000|4132.980000|0.000000|0.000000
22284|23|22|1|74|93|7|0|4|1023.450000|986.150000|37.300000|416.530000|0.000000
22469|6|0|6|20|10|0|0|0|134.650000|0.000000|134.650000|0.000000|0.000000
22751||||40|1|0|0|0||||0.000000|0.000000
23023||||18|0|0|0|0||||0.000000|0.000000
23292|26|0|26|0|24|0|0|0|845.910000|0.000000|845.910000|0.000000|0.000000
23563|23|23|0|124|0|19|0|0|1054.990000|1054.990000|0.000000|879.920000|0.000000
23768|28|0|42|98|11|28|11|0|2288.940000|0.000000|4101.850000|2402.730000|1283.790000
23974||||6|0|0|0|0||||0.000000|0.000000
24123|65|0|66|174|20|0|0|0|1348.090000|0.000000|1368.090000|0.000000|0.000000
24234|31|0|31|124|0|30|0|51|254.710000|0.000000|254.710000|248.200000|0.000000
24391|111|0|111|46|188|0|0|0|2410.130000|0.000000|2410.130000|0.000000|0.000000
24619|8|0|8|0|24|0|0|0|133.080000|0.000000|133.080000|0.000000|0.000000
24846|32|0|32|68|12|0|0|0|950.990000|0.000000|950.990000|0.000000|0.000000
25116|48|0|48|6|54|0|0|0|2370.380000|0.000000|2370.380000|0.000000|0.000000
25351|43|0|43|71|23|1|0|0|1413.400000|0.000000|1413.400000|19.120000|0.000000
25542|116|0|117|64|11|0|0|0|2156.900000|0.000000|2168.150000|0.000000|0.000000
25650|60|60|0|119|0|32|0|0|6668.830000|6668.830000|0.000000|4629.740000|0.000000
25949|18|18|0|16|0|0|0|0|1609.140000|1609.140000|0.000000|0.000000|0.000000
26110||||7|0|0|0|0||||0.000000|0.000000
26254|5|0|5|74|0|2|0|0|270.820000|0.000000|270.820000|61.330000|0.000000
26352||||43|0|0|0|0||||0.000000|0.000000
26560||||11|6|0|0|1||||0.000000|0.000000
26631|||||||||||||
26767|115|115|0|194|8|24|0|0|5356.920000|5356.920000|0.000000|1571.870000|0.000000
26962|1|0|1|2|0|0|0|0|20.000000|0.000000|20.000000|0.000000|0.000000
27143||||9|0|0|0|0||||0.000000|0.000000
27245|61|0|61|33|7|0|0|0|3058.280000|0.000000|3058.280000|0.000000|0.000000
27350|5|0|5|92|0|0|0|0|427.220000|0.000000|427.220000|0.000000|0.000000
27614|5|0|5|31|0|5|0|0|740.080000|0.000000|740.080000|740.080000|0.000000
27793||||4|0|0|0|0||||0.000000|0.000000
27969|||||||||||||
28054|16|0|16|32|13|0|0|5|692.380000|0.000000|692.380000|0.000000|0.000000
28304|6|12|0|56|53|5|0|0|237.950000|547.950000|0.000000|237.940000|0.000000
28400|||||||||||||
28624|51|0|51|1|19|0|0|0|1699.930000|0.000000|1699.930000|0.000000|0.000000
28800||||29|0|0|0|0||||0.000000|0.000000
29006|75|0|75|35|92|0|0|0|1678.190000|0.000000|1678.190000|0.000000|0.000000
29150|11|0|11|22|0|4|0|0|1514.630000|0.000000|1514.630000|997.250000|0.000000
29499|||||||||||||
29685|11|11|0|36|0|1|0|0|548.910000|548.910000|0.000000|57.360000|0.000000
29910||||10|0|0|0|0||||0.000000|0.000000
30023|127|0|132|8|27|0|0|8195|5544.310000|0.000000|5616.310000|0.000000|0.000000
30346|37|0|38|125|0|0|0|0|2159.330000|0.000000|2174.330000|0.000000|0.000000
30558|||||||||||||
30780|121|121|0|3|0|1|0|0|3422.670000|3422.670000|0.000000|28.860000|0.000000
30915|8|0|8|67|0|7|0|0|329.770000|0.000000|329.770000|229.940000|0.000000
31142|30|30|0|57|0|0|0|0|292.370000|292.370000|0.000000|0.000000|0.000000
31368||||91|0|0|0|0||||0.000000|0.000000
31487|25|25|0|28|0|11|0|0|3126.010000|3126.010000|0.000000|1660.580000|0.000000
31742|5|0|16|214|57|0|0|0|275.650000|0.000000|705.650000|0.000000|0.000000
31985|16|0|16|32|0|0|0|0|849.060000|0.000000|849.060000|0.000000|0.000000
32144|0|0|15|17|5|9|5|0|0.000000|0.000000|5189.080000|4821.910000|305.540000
32264||||31|0|0|0|0||||0.000000|0.000000
32491||||34|39|0|0|0||||0.000000|0.000000
32678||||6|1|0|0|0||||0.000000|0.000000
32842|63|0|63|0|0|0|0|0|1836.630000|0.000000|1836.630000|0.000000|0.000000
32944||||54|6|0|0|2||||0.000000|0.000000
33077|5|11|0|3|4|4|4|0|124.490000|471.970000|0.000000|118.000000|275.280000
33251||||8|0|0|0|0||||0.000000|0.000000
33470|0|0|1|9|10|0|0|0|0.000000|0.000000|50.000000|0.000000|0.000000
33596||||4|0|0|0|0||||0.000000|0.000000
33756|||||||||||||
33902|51|0|51|3|35|0|0|0|1812.400000|0.000000|1812.400000|0.000000|0.000000
34204|77|0|77|2|0|52|0|0|12214.230000|0.000000|12214.230000|9927.770000|0.000000
34360|13|13|0|182|0|0|0|0|455.540000|455.540000|0.000000|0.000000|0.000000
34484|1|0|6|0|1|2|1|29|310.450000|0.000000|1377.960000|551.740000|188.690000
34684||||45|0|0|0|0||||0.000000|0.000000
34764||||2|0|0|0|0||||0.000000|0.000000
34865||||0|1|0|0|0||||0.000000|0.000000
35065|1|0|1|31|0|0|0|0|74.750000|0.000000|74.750000|0.000000|0.000000
35468|6|0|7|56|1|5|1|0|163.740000|0.000000|193.500000|127.060000|29.760000
35551|1|0|1||||||111.760000|0.000000|111.760000||
35825|||||||||||||
36015|27|0|31|49|34|0|0|0|2035.030000|0.000000|2245.030000|0.000000|0.000000
36235||||12|0|0|0|0||||0.000000|0.000000
36390|65|89|0|62|25|20|0|86|3380.630000|5713.380000|0.000000|1245.920000|0.000000
36541|112|0|112|0|19|0|0|0|2566.030000|0.000000|2566.030000|0.000000|0.000000
36639||||49|13|0|0|73||||0.000000|0.000000
36795|46|21|25|51|37|9|0|15522|3623.180000|1731.570000|1891.610000|535.240000|0.000000
36895|8|0|8|2|1|0|0|0|446.030000|0.000000|446.030000|0.000000|0.000000
36981|23|0|23|0|0|15|0|0|6124.560000|0.000000|6124.560000|4273.560000|0.000000
37146|237|0|237|61|30|0|0|0|3217.560000|0.000000|3217.560000|0.000000|0.000000
37275|61|0|76|29|0|72|0|279|2538.070000|0.000000|4687.100000|4525.430000|0.000000
37432|||||||||||||
37500|4|0|4|109|0|0|0|0|189.700000|0.000000|189.700000|0.000000|0.000000
37583||||1|0|0|0|0||||0.000000|0.000000
37649|1|0|1|0|0|0|0|0|1.230000|0.000000|1.230000|0.000000|0.000000
37724|26|0|27|271|0|0|0|19|3846.320000|0.000000|4140.320000|0.000000|0.000000
37831||||21|0|0|0|0||||0.000000|0.000000
37957||||86|0|0|0|0||||0.000000|0.000000
38065|75|75|0|0|0|0|0|0|3206.970000|3206.970000|0.000000|0.000000|0.000000
38166|||||||||||||
38291|1|1|0|0|0|1|0|0|29.230000|29.230000|0.000000|29.230000|0.000000
38421|2|0|2|29|0|2|0|0|623.860000|0.000000|623.860000|623.860000|0.000000
38556|179|0|179|1|138|0|0|0|6899.570000|0.000000|6899.570000|0.000000|0.000000
38701|52|0|91|73|41|0|0|392|1552.140000|0.000000|4436.240000|0.000000|0.000000
38791|74|0|74|34|48|0|0|0|3503.590000|0.000000|3503.590000|0.000000|0.000000
38937|||||||||||||
39050|43|0|44|8|0|37|0|0|14069.220000|0.000000|16314.170000|14753.970000|0.000000
39135|||||||||||||
39204||||20|29|0|0|0||||0.000000|0.000000
39371|98|98|0|8|0|13|0|0|2129.030000|2129.030000|0.000000|490.330000|0.000000
39482|204|205|0|2|0|0|0|0|4943.090000|4981.240000|0.000000|0.000000|0.000000
39599|105|105|0|233|0|11|0|0|3564.950000|3564.950000|0.000000|84.780000|0.000000
39724|30|0|30|64|2|0|0|5|724.610000|0.000000|724.610000|0.000000|0.000000
39928||||178|0|0|0|0||||0.000000|0.000000
40034||||12|0|0|0|0||||0.000000|0.000000
40117|||||||||||||
40240|3|0|4|9|5|0|0|26|43.830000|0.000000|123.830000|0.000000|0.000000
40421|2|0|2|35|0|2|0|0|81.350000|0.000000|81.350000|81.350000|0.000000
40540|90|0|90|93|61|0|0|201|3756.530000|0.000000|3756.530000|0.000000|0.000000
40613|9|0|9|17|0|9|0|5150|1351.490000|0.000000|1351.490000|1351.490000|0.000000
40676|||||||||||||
40772|51|0|51|2|0|0|0|0|1208.970000|0.000000|1208.970000|0.000000|0.000000
40872|16|0|16|22|0|14|0|0|3300.990000|0.000000|3300.990000|2898.620000|0.000000
41019|11|0|11|25|0|0|0|0|394.540000|0.000000|394.540000|0.000000|0.000000
41077|7|0|7|14|66|0|0|6|365.310000|0.000000|365.310000|0.000000|0.000000
41155|2|2|0|130|34|0|0|0|89.720000|89.720000|0.000000|0.000000|0.000000
41207|188|0|188|13|95|0|0|0|3519.090000|0.000000|3519.090000|0.000000|0.000000
41278|2|2|0|92|1|0|0|0|23.050000|23.050000|0.000000|0.000000|0.000000
41362|15|1|14|72|121|0|0|0|915.400000|19.000000|896.400000|0.000000|0.000000
41530|2|0|2|1|9|0|0|0|25.650000|0.000000|25.650000|0.000000|0.000000
41647|5|0|5|47|69|0|0|5|319.770000|0.000000|319.770000|0.000000|0.000000
41746|53|0|53|7|0|0|0|0|1020.570000|0.000000|1020.570000|0.000000|0.000000
41776|29|29|0|80|0|6|0|101|2517.910000|2517.910000|0.000000|664.810000|0.000000
41915|16|0|16|43|0|14|0|0|2246.820000|0.000000|2246.820000|1545.320000|0.000000
42013|37|0|37|0|6|0|0|0|1488.340000|0.000000|1488.340000|0.000000|0.000000
42048||||7|75|0|0|0||||0.000000|0.000000
42144||||2|1|0|0|0||||0.000000|0.000000
42248||||25|67|0|0|0||||0.000000|0.000000
42377|37|0|37|3|2|0|0|0|2237.530000|0.000000|2237.530000|0.000000|0.000000
42452|57|0|58|74|0|21|0|81|4096.210000|0.000000|4338.520000|1718.220000|0.000000
42503||||26|38|0|0|0||||0.000000|0.000000
42592||||6|0|0|0|0||||0.000000|0.000000
42687|16|0|16|20|2|7|0|0|561.370000|0.000000|561.370000|60.190000|0.000000
42778|70|68|2|229|6|1|0|69|3097.540000|3039.040000|58.500000|19.780000|0.000000
42813|3|0|5|46|1|4|1|30|273.500000|0.000000|541.380000|302.340000|239.040000
42924|7|0|8|2|2|0|0|0|185.150000|0.000000|235.150000|0.000000|0.000000
42989||||0|15|0|0|0||||0.000000|0.000000
43066|3|0|3|0|0|3|0|0|195.010000|0.000000|195.010000|195.010000|0.000000
43104||||25|6|0|0|0||||0.000000|0.000000
43198|3|0|3|82|0|3|0|42|582.780000|0.000000|582.780000|582.780000|0.000000
43310||||0|0|0|0|0||||0.000000|0.000000
43426|17|17|0|35|0|1|0|0|790.600000|790.600000|0.000000|78.790000|0.000000
43546||||10|0|0|0|0||||0.000000|0.000000
43648|20|20|0|65|0|16|0|114|280.670000|280.670000|0.000000|215.470000|0.000000
43719|77|0|77|0|71|0|0|0|1168.030000|0.000000|1168.030000|0.000000|0.000000
43882|0|0|1|0|1|0|1|0|0.000000|0.000000|99.210000|0.000000|99.210000
43948|||||||||||||
44035|164|52|124|9|0|145|0|0|44580.190000|16451.110000|30057.410000|38656.840000|0.000000
44068||||169|2|0|0|0||||0.000000|0.000000
44088|26|0|26|19|42|0|0|0|1229.220000|0.000000|1229.220000|0.000000|0.000000
44103|6|0|6|123|19|0|0|0|211.740000|0.000000|211.740000|0.000000|0.000000
44126|0|0|2|14|109|0|0|0|0.000000|0.000000|30.000000|0.000000|0.000000
44211|3|0|5|0|0|5|0|0|150.950000|0.000000|3713.590000|3713.590000|0.000000
44293||||10|0|0|0|0||||0.000000|0.000000
44348|165|0|175|172|0|139|0|0|10513.500000|0.000000|31717.040000|29444.610000|0.000000
44441||||4|0|0|0|5||||0.000000|0.000000
44549|89|0|115|132|22|30|2|0|5037.160000|0.000000|9849.590000|3689.420000|74.180000
44652|1|0|1|1|0|0|0|0|191.260000|0.000000|191.260000|0.000000|0.000000
44732|6|0|14|1|7|7|7|0|4598.030000|0.000000|6406.840000|4768.540000|1638.300000
44888|60|0|60|4|2|0|0|0|3332.450000|0.000000|3332.450000|0.000000|0.000000
44948|||||||||||||
45042|18|0|18|0|0|0|0|0|247.640000|0.000000|247.640000|0.000000|0.000000
45088|8|0|8|147|7|0|0|0|165.870000|0.000000|165.870000|0.000000|0.000000
45213||||3|0|0|0|0||||0.000000|0.000000
45288|9|0|17|82|3|2|0|0|762.420000|0.000000|1891.660000|311.450000|0.000000
45370|112|0|112|114|0|2|0|303|2580.690000|0.000000|2580.690000|148.570000|0.000000
45466|7|0|7|3|1|0|0|0|116.690000|0.000000|116.690000|0.000000|0.000000
45649|28|0|37|0|9|25|7|0|3206.700000|0.000000|3986.990000|2266.930000|580.290000
45717|26|0|26|20|1|22|0|0|1011.510000|0.000000|1011.510000|745.150000|0.000000
45774||||4|0|0|0|0||||0.000000|0.000000
45848|61|62|0|17|0|2|0|0|3937.050000|3957.050000|0.000000|197.300000|0.000000
45899|16|0|16|4|0|0|0|0|273.050000|0.000000|273.050000|0.000000|0.000000
45995||||28|0|0|0|0||||0.000000|0.000000
46077||||11|0|0|0|0||||0.000000|0.000000
46116|7|0|7|0|19|1|0|0|277.020000|0.000000|277.020000|15.010000|0.000000
46211|5|3|2|39|77|0|0|6|829.090000|488.290000|340.800000|0.000000|0.000000
46299|69|0|70|24|20|8|0|7|2814.350000|0.000000|3111.240000|83.740000|0.000000
46380|28|55|0|27|88|3|3|0|1967.910000|3869.050000|0.000000|407.850000|311.140000
46466|||||||||||||
46575|38|38|0|17|0|0|0|0|1620.500000|1620.500000|0.000000|0.000000|0.000000
46650|35|0|36|12|28|0|0|0|690.630000|0.000000|698.030000|0.000000|0.000000
46726|43|0|47|50|0|43|0|0|2390.520000|0.000000|2497.770000|2204.200000|0.000000
46817||||69|28|0|0|2||||0.000000|0.000000
46871|19|0|21|30|24|0|0|0|333.670000|0.000000|403.670000|0.000000|0.000000
46991|26|0|39|1|10|23|9|0|12184.710000|0.000000|15344.790000|10847.450000|2350.560000
47045|71|0|71|3|0|0|0|0|2134.240000|0.000000|2134.240000|0.000000|0.000000
47151|1|0|1|0|3|0|0|0|153.700000|0.000000|153.700000|0.000000|0.000000
47351||||22|1|0|0|50||||0.000000|0.000000
47455|47|0|47|0|88|0|0|0|1450.190000|0.000000|1450.190000|0.000000|0.000000
47576|14|0|14|82|9|0|0|0|192.390000|0.000000|192.390000|0.000000|0.000000
47652|34|0|34|105|87|0|0|0|1417.960000|0.000000|1417.960000|0.000000|0.000000
47709|||||||||||||
47755|12|12|0|163|0|0|0|0|1098.200000|1098.200000|0.000000|0.000000|0.000000
47891|0|0|6|25|6|0|6|0|0.000000|0.000000|1134.960000|0.000000|1134.960000
47966|244|0|244|114|0|224|0|0|4003.510000|0.000000|4003.510000|3433.250000|0.000000
48023|131|0|153|0|15|116|15|0|10520.630000|0.000000|12252.700000|9352.170000|1204.200000
48174|5|0|8|12|3|4|3|0|314.950000|0.000000|415.260000|301.780000|100.310000
48276|62|0|62|156|0|45|0|0|2359.880000|0.000000|2359.880000|1605.860000|0.000000
48341|27|0|27|211|0|0|0|0|501.460000|0.000000|501.460000|0.000000|0.000000
48420|20|0|20|48|28|0|0|0|186.480000|0.000000|186.480000|0.000000|0.000000
48467||||30|22|0|0|0||||0.000000|0.000000
48532|59|59|0|80|103|1|0|0|1094.900000|1094.900000|0.000000|44.530000|0.000000
48550||||33|13|0|0|1||||0.000000|0.000000
48571|107|100|7|116|373|3|0|11|2330.800000|2030.190000|300.610000|95.200000|0.000000
48626|27|0|27|80|49|0|0|0|1089.280000|0.000000|1089.280000|0.000000|0.000000
48678|10|0|10|0|0|9|0|0|8459.650000|0.000000|8459.650000|7721.290000|0.000000
48736|46|0|47|0|0|45|0|0|7445.100000|0.000000|7458.220000|7200.740000|0.000000
48766|101|0|101|66|35|0|0|0|1734.940000|0.000000|1734.940000|0.000000|0.000000
48848|67|0|67|5|32|0|0|0|1214.850000|0.000000|1214.850000|0.000000|0.000000
48914|7|0|8|47|44|0|0|0|866.010000|0.000000|975.950000|0.000000|0.000000
48990|||||||||||||
49082|||||||||||||
49122|54|0|56|65|5|12|1|0|5420.180000|0.000000|5577.540000|961.590000|120.070000
49214|2|2|0|52|0|2|0|0|174.200000|174.200000|0.000000|174.200000|0.000000
49275|0|0|1|180|1|0|0|15|0.000000|0.000000|20.000000|0.000000|0.000000
49331|117|0|120|0|71|0|0|0|3516.520000|0.000000|3626.520000|0.000000|0.000000
49373|16|0|20|6|25|0|0|0|379.870000|0.000000|689.870000|0.000000|0.000000
49455||||21|2|0|0|0||||0.000000|0.000000
49517|4|0|4|58|0|4|0|0|1840.640000|0.000000|1840.640000|1840.640000|0.000000
49588|5|5|0|0|0|5|0|0|459.640000|459.640000|0.000000|459.640000|0.000000
49627|||||||||||||
49712|||||||||||||
49776|34|34|0|0|0|0|0|0|539.780000|539.780000|0.000000|0.000000|0.000000
49830|13|0|13|3|0|0|0|0|1466.530000|0.000000|1466.530000|0.000000|0.000000
49917|89|0|91|3|1|2|0|0|13435.270000|0.000000|14354.310000|919.040000|0.000000
49990||||5|0|0|0|0||||0.000000|0.000000
50033|2|2|0|67|0|0|0|0|773.000000|773.000000|0.000000|0.000000|0.000000
50118|111|112|0|52|11|41|0|1|5443.780000|5448.830000|0.000000|1978.350000|0.000000
50232|60|0|60|1|1|7|0|0|2102.200000|0.000000|2102.200000|418.330000|0.000000
50327|63|0|69|61|0|63|0|0|2507.200000|0.000000|2563.190000|2281.660000|0.000000
50439|25|0|26|1|0|22|0|0|2563.960000|0.000000|2590.740000|2329.760000|0.000000
50513||||9|0|0|0|3||||0.000000|0.000000
50637||||1|0|0|0|0||||0.000000|0.000000
50691||||16|14|0|0|0||||0.000000|0.000000
50770|9|0|9|39|0|0|0|0|354.300000|0.000000|354.300000|0.000000|0.000000
50829|||||||||||||
50917||||2|0|0|0|0||||0.000000|0.000000
51036|4|0|6|4|10|0|0|0|86.530000|0.000000|216.530000|0.000000|0.000000
51096|160|160|0|66|45|12|0|1|3805.830000|3805.830000|0.000000|544.920000|0.000000
51180|31|0|32|8|0|28|0|0|2278.980000|0.000000|2351.810000|2040.420000|0.000000
51225|9|0|9|0|0|0|0|0|697.280000|0.000000|697.280000|0.000000|0.000000
51286||||5|0|0|0|0||||0.000000|0.000000
51346|61|61|0|4|0|0|0|0|2883.860000|2883.860000|0.000000|0.000000|0.000000
51403||||2|4|0|0|0||||0.000000|0.000000
51487|11|0|11|7|12|0|0|0|872.290000|0.000000|872.290000|0.000000|0.000000
51559||||17|0|0|0|0||||0.000000|0.000000
51669|2|0|2|15|1|0|0|0|27.460000|0.000000|27.460000|0.000000|0.000000
51728|||||||||||||
51811||||1|0|0|0|0||||0.000000|0.000000
51875|21|0|21|0|0|0|0|0|1015.800000|0.000000|1015.800000|0.000000|0.000000
51934|7|0|7|16|15|0|0|6|159.800000|0.000000|159.800000|0.000000|0.000000
51991|10|0|10|2|18|0|0|0|910.690000|0.000000|910.690000|0.000000|0.000000
52031|59|59|0|212|57|0|0|0|1484.760000|1484.760000|0.000000|0.000000|0.000000
52075|11|0|16|54|70|3|0|0|299.790000|0.000000|479.790000|65.440000|0.000000
52158|17|0|23|144|36|0|2|0|315.380000|0.000000|525.910000|0.000000|58.990000
52252|||||||||||||
52325||||2|0|0|0|0||||0.000000|0.000000
52440|||||||||||||
52527|15|0|15|88|0|0|0|0|1194.330000|0.000000|1194.330000|0.000000|0.000000
52579|9|0|14|0|4|8|4|0|590.910000|0.000000|1185.560000|567.350000|476.760000
52702|136|125|11|75|58|0|0|3|6376.310000|5593.660000|782.650000|0.000000|0.000000
52841|88|0|88|102|75|0|0|2|1428.870000|0.000000|1428.870000|0.000000|0.000000
52937|118|0|121|1|0|103|0|0|12314.150000|0.000000|15911.770000|13923.800000|0.000000
53023|75|0|76|1|0|61|0|0|10988.640000|0.000000|12002.400000|10613.770000|0.000000
53108|60|0|66|46|6|51|6|0|16548.400000|0.000000|17880.390000|13880.310000|1331.990000
53163|60|0|137|10|40|86|35|6|754.770000|0.000000|11271.640000|5054.620000|4952.880000
53218||||60|0|0|0|0||||0.000000|0.000000
53279|4|0|5|2|2|0|0|0|165.560000|0.000000|215.560000|0.000000|0.000000
53340|11|0|11|4|14|0|0|0|730.460000|0.000000|730.460000|0.000000|0.000000
53406|21|0|21|17|6|3|0|0|2481.740000|0.000000|2481.740000|637.290000|0.000000
53483|28|0|31|0|0|27|0|0|10782.980000|0.000000|13378.880000|10676.190000|0.000000
53520|32|0|32|0|32|0|0|0|547.580000|0.000000|547.580000|0.000000|0.000000
53570|6|0|6|2|0|3|0|0|1655.880000|0.000000|1655.880000|1855.920000|0.000000
53632|18|0|18|39|17|2|0|0|540.930000|0.000000|540.930000|21.610000|0.000000
53670|5|0|5|74|4|0|0|0|185.070000|0.000000|185.070000|0.000000|0.000000
