CUST_ID|NO_OF_CARDS_PURCHASES|NO_OF_CREDIT_CARDS_TRANSACTIONS|NO_OF_DEBIT_CARDS_TRANSACTIONS|NO_OF_TELLER_TRANSACTIONS|NO_OF_ATM_TRANSACTIONS|NO_OF_INTERNATIONAL_CARDS_TRANSACTIONS|NO_OF_INTERNATIONAL_ATM_TRANSACTIONS|NO_OF_E_TRANSACTIONS|VALUE_OF_CARDS_PURCHASES|VALUE_OF_CREDIT_CARDS_TRANSACTIONS|VALUE_OF_DEBIT_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_CARDS_TRANSACTIONS|VALUE_OF_INTERNATIONAL_ATM_TRANSACTIONS
229930|10|9|1|133|0|0|0|0|1361.760000|1261.760000|100.000000|0.000000|0.000000
229949|118|118|0|24|28|0|0|0|1932.390000|1932.390000|0.000000|0.000000|0.000000
229971||||44|6|0|0|0||||0.000000|0.000000
229998|7|7|0|139|92|0|0|18|254.460000|254.460000|0.000000|0.000000|0.000000
230033|7|7|0|117|0|2|0|0|912.870000|912.870000|0.000000|250.220000|0.000000
230056|||||||||||||
230083|0|2|0|15|32|0|0|0|0.000000|150.000000|0.000000|0.000000|0.000000
230106||||68|0|0|0|2||||0.000000|0.000000
230138|10|10|0|21|0|0|0|3|485.220000|485.220000|0.000000|0.000000|0.000000
230164|14|14|0|15|0|11|0|55|4587.720000|4587.720000|0.000000|3460.080000|0.000000
230180|25|25|0|59|32|0|0|0|2010.230000|2010.230000|0.000000|0.000000|0.000000
230204|24|24|0|67|6|0|0|2|788.760000|788.760000|0.000000|0.000000|0.000000
230225||||31|0|0|0|0||||0.000000|0.000000
230250||||4|0|0|0|0||||0.000000|0.000000
230278|120|120|0|9|0|0|0|0|4405.150000|4405.150000|0.000000|0.000000|0.000000
230297|110|0|110|3|32|0|0|0|3079.530000|0.000000|3079.530000|0.000000|0.000000
230312||||26|0|0|0|132||||0.000000|0.000000
230334|9|9|0|74|10|0|0|0|1250.700000|1250.700000|0.000000|0.000000|0.000000
230357||||3|0|0|0|0||||0.000000|0.000000
230402|8|8|0|1|0|0|0|0|103.650000|103.650000|0.000000|0.000000|0.000000
230420|188|188|0|56|0|11|0|0|6501.130000|6501.130000|0.000000|616.640000|0.000000
230444|73|0|73|48|71|0|0|3|1445.820000|0.000000|1445.820000|0.000000|0.000000
230461|||||||||||||
230479|28|28|0|2|0|0|0|0|675.870000|675.870000|0.000000|0.000000|0.000000
230501|87|87|0|26|158|2|0|41|2021.100000|2021.100000|0.000000|38.640000|0.000000
230526|77|0|77|42|66|0|0|0|1295.730000|0.000000|1295.730000|0.000000|0.000000
230556|44|44|0|26|83|0|0|0|1016.000000|1016.000000|0.000000|0.000000|0.000000
230572|2|2|0|39|0|0|0|0|165.000000|165.000000|0.000000|0.000000|0.000000
230593||||4|0|0|0|0||||0.000000|0.000000
230618|4|4|0|18|0|2|0|0|487.190000|487.190000|0.000000|368.190000|0.000000
230636|95|95|0|21|193|7|0|2|3234.890000|3234.890000|0.000000|450.720000|0.000000
230665|||||||||||||
230683|2|2|0|12|0|0|0|0|136.890000|136.890000|0.000000|0.000000|0.000000
230706||||6|6|0|0|24||||0.000000|0.000000
230721|30|30|0|10|0|0|0|0|694.200000|694.200000|0.000000|0.000000|0.000000
230746|19|19|0|11|0|0|0|3|1276.090000|1276.090000|0.000000|0.000000|0.000000
230761|11|0|11|47|12|0|0|0|567.350000|0.000000|567.350000|0.000000|0.000000
230784|8|8|0|8|0|0|0|10|560.330000|560.330000|0.000000|0.000000|0.000000
230811|83|83|0|143|90|14|0|0|4039.530000|4039.530000|0.000000|380.550000|0.000000
230832||||47|5|0|0|1||||0.000000|0.000000
230853|63|33|30|19|62|0|0|325|2613.960000|1428.500000|1185.460000|0.000000|0.000000
230872|13|13|0|34|0|0|0|25|483.740000|483.740000|0.000000|0.000000|0.000000
230894|4|4|0|79|0|0|0|0|166.600000|166.600000|0.000000|0.000000|0.000000
230921|34|34|0|256|6|0|0|192|4397.940000|4397.940000|0.000000|0.000000|0.000000
230937|2|2|0|6|0|2|0|0|254.380000|254.380000|0.000000|254.380000|0.000000
230970|10|10|0|2|0|0|0|0|303.030000|303.030000|0.000000|0.000000|0.000000
230988|311|313|0|88|0|0|0|0|4223.640000|4240.140000|0.000000|0.000000|0.000000
231011||||37|4|0|0|0||||0.000000|0.000000
231024|46|46|0|2|33|0|0|0|1830.600000|1830.600000|0.000000|0.000000|0.000000
231058|13|13|0|49|30|1|0|0|614.200000|614.200000|0.000000|229.170000|0.000000
231087|14|0|14|9|0|0|0|0|1247.500000|0.000000|1247.500000|0.000000|0.000000
231115||||47|0|0|0|0||||0.000000|0.000000
231157|4|4|0|9|0|0|0|0|80.590000|80.590000|0.000000|0.000000|0.000000
231173|12|13|0|4|1|0|0|0|689.640000|789.640000|0.000000|0.000000|0.000000
231208||||50|0|0|0|0||||0.000000|0.000000
231230|43|38|6|294|60|0|0|0|1216.970000|1133.470000|93.500000|0.000000|0.000000
231258|17|0|17|63|41|0|0|0|830.790000|0.000000|830.790000|0.000000|0.000000
231274|84|84|0|142|0|3|0|0|4142.180000|4142.180000|0.000000|78.630000|0.000000
231294|36|0|56|53|49|7|0|0|951.770000|0.000000|2543.980000|632.210000|0.000000
231320|3|2|1|35|18|0|0|0|151.190000|93.750000|57.440000|0.000000|0.000000
231368||||0|0|0|0|0||||0.000000|0.000000
231391|22|22|0|39|66|0|0|0|1312.680000|1312.680000|0.000000|0.000000|0.000000
231413|26|26|0|13|0|0|0|0|651.640000|651.640000|0.000000|0.000000|0.000000
231435|110|110|0|48|121|1|0|2|10481.730000|10481.730000|0.000000|107.890000|0.000000
231457|28|28|0|83|25|2|0|1|1645.480000|1645.480000|0.000000|145.910000|0.000000
231481|||||||||||||
231503|21|0|21|41|0|0|0|0|737.580000|0.000000|737.580000|0.000000|0.000000
231528|26|0|26|10|0|0|0|0|1051.140000|0.000000|1051.140000|0.000000|0.000000
231551|29|29|0|128|0|0|0|0|1054.250000|1054.250000|0.000000|0.000000|0.000000
231574||||19|0|0|0|0||||0.000000|0.000000
231591||||4|0|0|0|1||||0.000000|0.000000
231607|50|50|0|12|15|0|0|0|1316.620000|1316.620000|0.000000|0.000000|0.000000
231626|65|0|65|136|45|0|0|17|1645.610000|0.000000|1645.610000|0.000000|0.000000
231644||||44|0|0|0|0||||0.000000|0.000000
231660|40|0|40|5|77|0|0|1|1376.320000|0.000000|1376.320000|0.000000|0.000000
231681||||5|0|0|0|0||||0.000000|0.000000
231715||||85|0|0|0|0||||0.000000|0.000000
231736|109|0|109|19|0|0|0|0|2439.300000|0.000000|2439.300000|0.000000|0.000000
231760|136|25|113|45|59|23|0|393|6289.450000|2936.530000|3545.120000|2351.090000|0.000000
231787|57|57|0|25|0|0|0|6|1327.780000|1327.780000|0.000000|0.000000|0.000000
231802|15|14|1|91|0|0|0|5|1062.990000|642.990000|420.000000|0.000000|0.000000
231823||||127|0|0|0|0||||0.000000|0.000000
231850|15|15|0|17|0|0|0|0|730.420000|730.420000|0.000000|0.000000|0.000000
231867|94|95|0|21|37|0|0|0|2818.740000|2868.740000|0.000000|0.000000|0.000000
231884|11|0|11|27|0|0|0|76|399.050000|0.000000|399.050000|0.000000|0.000000
231909|5|5|0|13|4|0|0|0|82.650000|82.650000|0.000000|0.000000|0.000000
231932|27|27|0|44|0|6|0|0|858.560000|858.560000|0.000000|252.550000|0.000000
231953|7|7|0|109|3|0|0|0|570.910000|570.910000|0.000000|0.000000|0.000000
231985||||22|17|0|0|0||||0.000000|0.000000
231998|||||||||||||
232029|||||||||||||
232051|129|129|0|64|0|10|0|0|3072.130000|3072.130000|0.000000|226.660000|0.000000
232072|70|70|0|61|39|3|0|206|2119.860000|2119.860000|0.000000|96.400000|0.000000
232093|70|70|0|71|33|1|0|2|2374.470000|2374.470000|0.000000|38.050000|0.000000
232115|43|21|42|22|81|3|8|0|1475.170000|1819.350000|1461.770000|137.650000|1132.500000
232131|4|4|0|2|0|0|0|0|250.550000|250.550000|0.000000|0.000000|0.000000
232150|157|0|157|15|0|0|0|2|2992.140000|0.000000|2992.140000|0.000000|0.000000
232174|23|23|0|15|17|0|0|0|833.600000|833.600000|0.000000|0.000000|0.000000
232197||||1|0|0|0|0||||0.000000|0.000000
232209|88|88|0|56|7|0|0|0|3376.550000|3376.550000|0.000000|0.000000|0.000000
232234|83|0|83|38|0|4|0|0|4514.160000|0.000000|4514.160000|129.290000|0.000000
232248|1|1|0|0|0|0|0|0|110.000000|110.000000|0.000000|0.000000|0.000000
232270|93|0|94|28|71|2|1|2|2831.770000|0.000000|2855.940000|36.170000|24.170000
232286|3|3|0|3|0|0|0|0|230.400000|230.400000|0.000000|0.000000|0.000000
232307|142|142|0|13|109|0|0|12|2705.020000|2705.020000|0.000000|0.000000|0.000000
232348|35|24|11|88|28|13|0|3|2104.910000|1531.040000|573.870000|1074.060000|0.000000
232364||||18|0|0|0|0||||0.000000|0.000000
232390|81|81|0|23|0|0|0|0|2320.530000|2320.530000|0.000000|0.000000|0.000000
232409||||35|2|0|0|0||||0.000000|0.000000
232435|133|133|0|50|27|30|0|333|7758.300000|7758.300000|0.000000|1496.430000|0.000000
232454|6|6|0|0|0|0|0|0|578.440000|578.440000|0.000000|0.000000|0.000000
232471||||36|0|0|0|0||||0.000000|0.000000
232488||||3|0|0|0|0||||0.000000|0.000000
232514|75|75|0|11|0|3|0|0|3163.200000|3163.200000|0.000000|65.380000|0.000000
232532||||39|0|0|0|0||||0.000000|0.000000
232553||||57|0|0|0|0||||0.000000|0.000000
232575|53|23|30|138|13|0|0|211|1983.620000|1222.560000|761.060000|0.000000|0.000000
232589|25|25|0|8|0|0|0|0|794.700000|794.700000|0.000000|0.000000|0.000000
232615|29|32|0|27|20|2|3|0|1782.120000|2032.520000|0.000000|44.730000|250.400000
232639|19|19|0|9|0|0|0|0|1044.950000|1044.950000|0.000000|0.000000|0.000000
232670|2|0|2|29|13|0|0|0|22.100000|0.000000|22.100000|0.000000|0.000000
232695|56|61|4|17|58|8|9|167|1682.480000|1778.160000|95.430000|176.520000|191.110000
232716|1|1|0|10|0|0|0|0|79.000000|79.000000|0.000000|0.000000|0.000000
232745|143|143|0|99|0|6|0|0|3002.090000|3002.090000|0.000000|163.870000|0.000000
